name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Nick2,8.625,3.225,0.994978,1.03282,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,1.01692,1.01998,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,1.00517,1.0205,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,3.225,0.975627,0.959149,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.0373,0.9677,8.22188,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.403125,1.02058,1.01623,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.04209,1.00441,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,1.03147,0.97751,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,1.0494,0.968484,8.625,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0,1.02863,0.954061,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,1.01884,0.954658,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0,1.04968,0.9819,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,1.00165,0.980394,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.80625,1.00814,1.01944,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.80625,1.03326,1.0488,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.80625,1.03674,1.01573,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.998153,1.01025,8.625,7.0125,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,1.6125,1.04122,1.0021,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,1.6125,1.01959,1.00939,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,1.6125,0.979959,1.04474,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.968975,0.992632,8.625,5.4,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,3.225,0.965041,1.02659,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,0.965244,1.0048,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,3.225,0.971745,0.952476,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.987484,1.02055,8.625,8.22188,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.403125,0.971466,1.00446,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.973182,0.97294,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.403125,1.01025,1.01617,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,0,0.972376,0.970493,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0,0.981531,1.01274,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0,1.00963,1.03517,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0,0.966974,1.01048,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,1.04114,0.95823,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.80625,1.02574,0.955221,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.80625,0.952306,1.04978,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.80625,0.996039,1.02699,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,1.6125,0.984979,0.951876,8.625,7.0125,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,1.6125,0.98117,0.974502,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.98887,0.950968,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,1.6125,1.03268,1.00307,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.971533,0.98825,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,1.00696,1.04866,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,1.02065,1.0013,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,3.225,1.00625,0.986426,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.975298,0.966681,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.403125,0.991188,0.952249,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.403125,1.02562,1.00552,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,0.968334,0.977495,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,0.973476,0.995149,8.625,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0,1.00897,1.04526,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,1.02977,1.01583,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0,1.03005,0.969284,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,0.80625,0.97145,1.02241,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.80625,1.00714,0.950667,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.80625,1.04035,1.04105,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.80625,0.967659,0.989448,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,1.6125,1.04801,0.994061,8.625,7.0125,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,1.6125,0.964102,1.03399,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.978372,0.977489,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,1.6125,1.01476,0.983537,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,1.04527,1.0195,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,3.225,0.950028,0.9735,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,0.953732,1.03892,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,3.225,0.988834,1.04769,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.959288,0.951811,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.403125,0.950046,1.04622,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.95086,1.03701,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,0.967431,0.984164,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,1.02366,1.00375,8.625,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0,0.978096,0.964361,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,0.975182,0.984826,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0,1.01205,0.987776,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,1.04669,1.03784,7.81875,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.80625,0.980698,1.02243,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.80625,1.01614,1.02469,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.80625,0.966213,1.0351,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,1.6125,1.02717,1.00467,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,1.6125,0.95758,1.00279,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.953784,0.97736,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,1.6125,0.999052,0.988081,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.969658,0.991672,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,0.96398,0.961185,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,0.979128,1.02662,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,3.225,1.04399,1.04534,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.00253,1.00857,8.22188,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.403125,0.960179,0.985489,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.403125,1.04614,1.01723,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,1.00945,1.01731,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,1.0335,1.01227,8.625,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0,1.02086,1.00889,8.625,8.625,1,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,0.967148,1.03943,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0,1.03994,0.991082,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,0.971792,1.03853,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.80625,1.00082,1.04266,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.80625,1.01584,0.985069,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.80625,1.01673,0.960908,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,1.6125,1.00363,0.999393,8.625,7.0125,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,1.6125,0.952284,1.01811,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.968128,0.986952,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,1.6125,0.950179,1.00198,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.953891,1.02358,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,1.00376,1.00132,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,1.03767,1.02168,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,3.225,0.973905,1.00406,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.00183,1.01571,8.625,8.22188,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.403125,1.0369,1.03845,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.0051,1.03555,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.403125,0.967372,0.973814,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,0.975467,1.00349,8.625,8.625,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0,0.956397,1.02846,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,0.952121,1.04557,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0,1.04342,1.01992,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,0.967074,0.988663,8.625,7.81875,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.80625,0.99186,0.978869,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.80625,1.03697,0.983545,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.80625,0.95545,0.989615,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,1.6125,0.997606,0.957765,8.625,7.0125,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,1.6125,0.962265,0.969507,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,1.01502,0.996881,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,1.6125,0.991072,1.02907,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,1.00486,1.00469,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,0.97342,1.01323,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,1.01344,0.963812,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,3.225,1.03655,0.959071,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.00194,0.992476,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.403125,0.953911,1.01929,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.956946,1.00887,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.403125,0.956745,0.98184,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,0.985173,0.950021,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0,0.988512,0.996178,8.625,8.625,1,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,0.991707,1.00568,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0,1.03414,0.982533,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,0.981592,1.023,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.80625,0.971244,1.04037,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.80625,0.982379,1.01295,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.80625,1.00724,1.03846,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.954688,1.02861,7.0125,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,1.6125,0.986706,0.985059,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,1.03293,1.01351,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,1.6125,1.03761,1.02404,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.987785,0.992835,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,1.0344,0.951036,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,1.03809,0.985432,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,3.225,0.994671,0.963072,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.957172,0.951101,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.403125,0.994985,1.01692,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.984405,0.979727,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,0.975158,0.964384,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,0.963657,1.03566,8.625,8.625,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0,1.00663,1.01867,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0,1.0323,0.962935,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0,0.969622,1.00604,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,0.80625,0.989645,0.996147,7.81875,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.80625,0.963778,1.01877,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.80625,1.03473,1.04121,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.80625,0.967974,0.982181,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,1.6125,1.01056,1.00645,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,1.6125,1.04436,1.00674,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.979098,0.967189,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,1.6125,1.04934,1.0194,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.978423,1.01049,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,3.225,0.993904,1.02645,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,1.03525,0.988053,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,3.225,0.976173,0.997705,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.961562,1.01796,8.22188,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.403125,0.984308,0.985094,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.403125,0.9759,1.01946,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,0.975416,0.974429,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,0.999853,1.02448,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0,1.03686,0.963863,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,1.04837,0.952191,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0,0.975332,1.006,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.80625,0.968856,0.957103,7.81875,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,0.80625,1.03632,1.02753,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0.80625,1.04373,0.95021,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.80625,0.965113,0.974188,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,1.6125,1.00589,1.00903,7.0125,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,1.6125,0.989517,1.02705,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,1.00302,0.955332,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,1.6125,0.950471,1.0436,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,3.225,0.993042,0.994427,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,3.225,0.996851,0.988657,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,3.225,0.985088,1.03569,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,3.225,1.02618,0.997282,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0.403125,0.956546,0.969849,8.22188,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.403125,0.99486,1.00481,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.403125,1.00507,0.956851,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
Nick2,8.625,0.403125,0.974864,1.01122,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,0,0.955573,1.04833,8.625,8.625,1,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0,1.03657,0.978554,8.625,8.625,1,Stereo,Separated,Projective,Oblique,0,0
Nick2,8.625,0,1.00268,1.02889,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0,0.995187,0.964645,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Nick2,8.625,0.80625,1.02182,1.041,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick2,8.625,0.80625,0.984719,1.02393,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,0.80625,0.979486,1.00602,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick2,8.625,0.80625,0.977277,0.950006,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick2,8.625,1.6125,1.04878,0.951324,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick2,8.625,1.6125,0.959591,0.996062,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Nick2,8.625,1.6125,0.952425,0.966714,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
